Timestamp,Are you a native or non-native English speaker?,What is your principal field of study?  ,"Have you ever heard of Artificial Intelligence (AI) tools, such as ChatGPT, Grammarly, Claude, etc.?  ","Do you use AI tools (such as ChatGPT, Grammarly, or any other AI tool) in your academic life? Please answer 'Yes' even if you use them only rarely; you will have the opportunity to specify how often in the next question.  ","How frequently do you use AI tools (e.g., ChatGPT, Grammarly, Claude, etc.)? A rating of 1 indicates very rare use, while a rating of 5 indicates daily use. Higher numbers represent more frequent usage.  ",For which specific purposes do you use these AI tools? (Select all that apply)  ,Which AI tool do you use most frequently?  (Select all that apply),Do you consent to participate in this study?
9/18/2024 18:51:09,Native English Speaker,Business Administration,Yes,Yes,1,Proofreading and Grammar Checking,ChatGPT,
9/23/2024 20:58:23,Native English Speaker,Computer Science,Yes,Yes,3,"Proofreading and Grammar Checking, Generating Ideas or Brainstorming, Learning and Studying new topics","ChatGPT, Snapchat AI",I do consent
9/23/2024 21:39:37,Non-Native English Speaker,Data Science,Yes,Yes,4,"Proofreading and Grammar Checking, Generating Ideas or Brainstorming, Learning and Studying new topics, Coding or Debugging Assistance, Creating Content (e.g., Essays, Reports, Presentations)","ChatGPT, Grammarly",I do consent
9/24/2024 16:30:57,Non-Native English Speaker,Computer Science,Yes,Yes,3,"Completing Assignments, Proofreading and Grammar Checking, Coding or Debugging Assistance, Language Translation, Solving Mathematical Problems","ChatGPT, Grammarly",I do consent
9/24/2024 18:03:13,Native English Speaker,Exercise Science,Yes,No,1,,,I do consent
9/24/2024 18:04:30,Native English Speaker,Computer Science,Yes,Yes,1,"Proofreading and Grammar Checking, Learning and Studying new topics","ChatGPT, Grammarly",I do consent
9/24/2024 18:04:56,Non-Native English Speaker,Computer Science,Yes,Yes,3,"Completing Assignments, Proofreading and Grammar Checking, Coding or Debugging Assistance",ChatGPT,I do consent
9/24/2024 18:05:08,Native English Speaker,Computer Science,Yes,Yes,4,"Proofreading and Grammar Checking, Generating Ideas or Brainstorming, Learning and Studying new topics, Coding or Debugging Assistance","ChatGPT, Grammarly, QuillBot",I do consent
9/24/2024 18:05:09,Native English Speaker,,Yes,No,1,,,I do consent
9/24/2024 18:05:23,Non-Native English Speaker,Computer Science,Yes,Yes,4,"Proofreading and Grammar Checking, Learning and Studying new topics, Coding or Debugging Assistance, Creating Content (e.g., Essays, Reports, Presentations), Solving Mathematical Problems",ChatGPT,I do consent
9/24/2024 18:05:43,Native English Speaker,Exercise Science,No,Yes,3,"Generating Ideas or Brainstorming, Organizing Notes and Information",ChatGPT,I do consent
9/24/2024 18:06:06,Native English Speaker,Computer Science,Yes,No,1,,,I do consent
9/24/2024 18:06:11,Non-Native English Speaker,Computer Science,Yes,Yes,3,"Completing Assignments, Generating Ideas or Brainstorming, Learning and Studying new topics, Coding or Debugging Assistance","ChatGPT, Grammarly, Snapchat AI",I do consent
9/24/2024 18:06:15,Native English Speaker,Exercise Science,Yes,Yes,1,"Proofreading and Grammar Checking, Language Translation","Grammarly, Snapchat AI",I do consent
9/24/2024 18:06:46,Native English Speaker,Computer Science,Yes,Yes,1,"Generating Ideas or Brainstorming, Coding or Debugging Assistance",ChatGPT,I do consent
9/24/2024 18:07:15,Non-Native English Speaker,Computer Science,Yes,Yes,1,"Generating Ideas or Brainstorming, Language Translation","ChatGPT, Grammarly",I do consent
9/24/2024 18:07:49,Non-Native English Speaker,Nursing,Yes,Yes,2,"Generating Ideas or Brainstorming, Language Translation",ChatGPT,I do consent
9/24/2024 18:08:19,Non-Native English Speaker,Computer Science,Yes,Yes,2,"Proofreading and Grammar Checking, Generating Ideas or Brainstorming, Learning and Studying new topics, Organizing Notes and Information","ChatGPT, Grammarly",I do consent
9/24/2024 18:08:26,Native English Speaker,Business Administration,Yes,Yes,5,"Proofreading and Grammar Checking, I use Grammarly on everything ","Grammarly, Snapchat AI",I do consent
9/24/2024 18:08:32,Non-Native English Speaker,Data Science,Yes,Yes,2,"Completing Assignments, Language Translation, Organizing Notes and Information",ChatGPT,I do consent
9/24/2024 18:08:51,Non-Native English Speaker,Nursing,Yes,Yes,1,"Completing Assignments, Learning and Studying new topics, Language Translation, Solving Mathematical Problems",ChatGPT,I do consent
9/24/2024 20:18:57,Non-Native English Speaker,Computer Science,Yes,Yes,3,"Proofreading and Grammar Checking, Generating Ideas or Brainstorming, Learning and Studying new topics, Language Translation",ChatGPT,I do consent
9/25/2024 3:55:14,Native English Speaker,Data Science,Yes,Yes,3,"Completing Assignments, Generating Ideas or Brainstorming, Learning and Studying new topics, Coding or Debugging Assistance, Language Translation, Solving Mathematical Problems","ChatGPT, Claude, Llama, Grok, and gemini",I do consent
9/25/2024 17:01:32,Native English Speaker,Education,Yes,Yes,3,"Proofreading and Grammar Checking, Generating Ideas or Brainstorming","ChatGPT, Grammarly",I do consent
9/25/2024 17:02:21,Native English Speaker,English,Yes,No,1,"Proofreading and Grammar Checking, Language Translation","Grammarly, Snapchat AI",I do consent
9/25/2024 17:02:33,Native English Speaker,Business Administration,Yes,Yes,3,"Proofreading and Grammar Checking, Generating Ideas or Brainstorming, Organizing Notes and Information","ChatGPT, Grammarly",I do consent
9/25/2024 17:02:40,Non-Native English Speaker,Business Administration,Yes,Yes,1,Generating Ideas or Brainstorming,ChatGPT,I do consent
9/25/2024 17:02:54,Native English Speaker,Communication,Yes,No,1,Generating Ideas or Brainstorming,Grammarly,I do consent
9/25/2024 17:02:59,Native English Speaker,Psychology,Yes,Yes,4,Generating Ideas or Brainstorming,ChatGPT,I do consent
9/25/2024 17:03:01,Native English Speaker,Communication,Yes,No,1,Coding or Debugging Assistance,Grammarly,I do consent
9/25/2024 17:03:07,Non-Native English Speaker,Business Administration,Yes,Yes,3,"Proofreading and Grammar Checking, Generating Ideas or Brainstorming, Creating Content (e.g., Essays, Reports, Presentations), Solving Mathematical Problems","Grammarly, Snapchat AI",I do consent
9/25/2024 17:03:32,Native English Speaker,Computer Science,Yes,Yes,1,"Proofreading and Grammar Checking, Language Translation",Grammarly,I do consent
9/25/2024 17:04:04,Native English Speaker,Biology,Yes,No,1,none i dont use ai,none,I do consent
9/25/2024 17:04:13,Non-Native English Speaker,Business Administration,Yes,Yes,2,"Generating Ideas or Brainstorming, Learning and Studying new topics","ChatGPT, Grammarly",I do consent
9/25/2024 17:04:37,Native English Speaker,Business Administration,Yes,Yes,3,"Proofreading and Grammar Checking, Generating Ideas or Brainstorming, Organizing Notes and Information","ChatGPT, Grammarly, Snapchat AI",I do consent
9/25/2024 17:04:53,Native English Speaker,Biology,Yes,No,1,"I don’t really use AI, but sometimes I use those apps to help make citations and work cited pages",None,I do consent
9/25/2024 17:05:05,Native English Speaker,Biology,Yes,No,2,,ChatGPT,I do consent
9/25/2024 17:05:17,Native English Speaker,Psychology,Yes,Yes,1,Language Translation,ChatGPT,I do consent
9/25/2024 18:03:01,Native English Speaker,Data Science,Yes,Yes,3,"Generating Ideas or Brainstorming, Learning and Studying new topics, Language Translation","ChatGPT, Grammarly",I do consent
9/25/2024 18:03:05,Native English Speaker,Computer Science,Yes,Yes,1,"Generating Ideas or Brainstorming, Learning and Studying new topics",ChatGPT,I do consent
9/25/2024 18:03:39,Native English Speaker,Data Science,Yes,Yes,3,"Proofreading and Grammar Checking, Generating Ideas or Brainstorming, Learning and Studying new topics, Solving Mathematical Problems","ChatGPT, Grammarly",I do consent
9/25/2024 18:03:41,Native English Speaker,Computer Science,Yes,Yes,4,"Completing Assignments, Proofreading and Grammar Checking, Generating Ideas or Brainstorming, Coding or Debugging Assistance, Organizing Notes and Information","ChatGPT, Google Gemini",I do consent
9/25/2024 18:03:44,Native English Speaker,Mathematics,Yes,Yes,2,Proofreading and Grammar Checking,Grammarly,I do consent
9/25/2024 18:03:44,,,,,,,,I do NOT consent
9/25/2024 18:03:59,Native English Speaker,Computer Science,Yes,Yes,1,Language Translation,ChatGPT,I do consent
9/25/2024 18:04:07,Native English Speaker,Data Science,Yes,Yes,3,"Completing Assignments, Generating Ideas or Brainstorming, Coding or Debugging Assistance, Language Translation, Creating Content (e.g., Essays, Reports, Presentations)",ChatGPT,I do consent
9/25/2024 18:04:12,Native English Speaker,Art,Yes,Yes,5,"Completing Assignments, Proofreading and Grammar Checking, Generating Ideas or Brainstorming, Coding or Debugging Assistance, Creating Content (e.g., Essays, Reports, Presentations), Organizing Notes and Information, Solving Mathematical Problems","ChatGPT, Grammarly",I do consent
9/25/2024 18:04:47,Non-Native English Speaker,Data Science,Yes,Yes,1,"Completing Assignments, Organizing Notes and Information","ChatGPT, Grammarly",I do consent
9/25/2024 18:05:51,Native English Speaker,Computer Science,Yes,Yes,5,"Generating Ideas or Brainstorming, Coding or Debugging Assistance",Grammarly,I do consent
9/25/2024 18:06:14,Native English Speaker,Data Science,Yes,Yes,3,"Generating Ideas or Brainstorming, Learning and Studying new topics, Coding or Debugging Assistance, Language Translation",ChatGPT,I do consent
9/26/2024 16:31:52,Native English Speaker,Communication,Yes,Yes,3,"Proofreading and Grammar Checking, Generating Ideas or Brainstorming, Learning and Studying new topics, Coding or Debugging Assistance, Language Translation, Organizing Notes and Information","ChatGPT, Grammarly",I do consent
9/26/2024 16:34:37,Native English Speaker,Spanish,Yes,Yes,3,"Proofreading and Grammar Checking, Generating Ideas or Brainstorming, Learning and Studying new topics, Coding or Debugging Assistance, Language Translation",ChatGPT,I do consent
9/26/2024 16:34:46,Native English Speaker,Computer Science,Yes,Yes,3,"Proofreading and Grammar Checking, Generating Ideas or Brainstorming, Coding or Debugging Assistance","ChatGPT, Grammarly",I do consent
9/26/2024 16:34:52,Native English Speaker,Computer Science,Yes,Yes,2,"Completing Assignments, Proofreading and Grammar Checking, Learning and Studying new topics, Solving Mathematical Problems","ChatGPT, Grammarly",I do consent
9/27/2024 2:39:53,Native English Speaker,Art,Yes,Yes,3,"Completing Assignments, Proofreading and Grammar Checking, Generating Ideas or Brainstorming, Learning and Studying new topics","ChatGPT, Grammarly",I do consent
9/27/2024 2:39:56,Non-Native English Speaker,Business Administration,Yes,Yes,4,"Completing Assignments, Language Translation",ChatGPT,I do consent
9/27/2024 2:40:17,Non-Native English Speaker,Exercise Science,Yes,Yes,3,"Completing Assignments, Generating Ideas or Brainstorming, Creating Content (e.g., Essays, Reports, Presentations)","ChatGPT, Goblin.tools",I do consent
9/27/2024 2:40:23,Non-Native English Speaker,Biology,No,No,1,,,I do consent
9/27/2024 2:40:28,Non-Native English Speaker,Economics,Yes,Yes,3,"Proofreading and Grammar Checking, Generating Ideas or Brainstorming, Language Translation",ChatGPT,I do consent
9/27/2024 2:40:33,Non-Native English Speaker,Psychology,Yes,Yes,4,"Completing Assignments, Generating Ideas or Brainstorming, Learning and Studying new topics, Creating Content (e.g., Essays, Reports, Presentations)",ChatGPT,I do consent
9/27/2024 2:40:49,Non-Native English Speaker,Economics,Yes,Yes,3,"Proofreading and Grammar Checking, Generating Ideas or Brainstorming, Learning and Studying new topics, Organizing Notes and Information","ChatGPT, Grammarly",I do consent
9/27/2024 2:40:50,Native English Speaker,Exercise Science,Yes,Yes,3,Generating Ideas or Brainstorming,"ChatGPT, Snapchat AI",I do consent
9/27/2024 2:40:50,Native English Speaker,Exercise Science,Yes,Yes,3,"Proofreading and Grammar Checking, Learning and Studying new topics, Language Translation, Organizing Notes and Information","Grammarly, Snapchat AI",I do consent
9/27/2024 2:41:01,Native English Speaker,Business Administration,Yes,Yes,3,"Proofreading and Grammar Checking, Language Translation, Organizing Notes and Information","Grammarly, Snapchat AI",I do consent
9/27/2024 2:41:12,Non-Native English Speaker,Business Administration,Yes,Yes,4,"Proofreading and Grammar Checking, Generating Ideas or Brainstorming, Learning and Studying new topics",ChatGPT,I do consent
9/27/2024 2:41:17,Native English Speaker,Business Administration,Yes,Yes,4,"Completing Assignments, Generating Ideas or Brainstorming, Learning and Studying new topics, Language Translation, Solving Mathematical Problems",ChatGPT,I do consent
9/27/2024 2:41:29,Native English Speaker,Exercise Science,Yes,No,2,"Proofreading and Grammar Checking, Generating Ideas or Brainstorming",ChatGPT,I do consent
9/27/2024 2:41:38,Native English Speaker,Business Administration,Yes,Yes,5,"Completing Assignments, Generating Ideas or Brainstorming, Learning and Studying new topics, Creating Content (e.g., Essays, Reports, Presentations)",ChatGPT,I do consent
9/27/2024 2:41:38,Non-Native English Speaker,Economics,Yes,Yes,4,"Completing Assignments, Proofreading and Grammar Checking, Generating Ideas or Brainstorming, Learning and Studying new topics, Language Translation, Organizing Notes and Information, Solving Mathematical Problems",ChatGPT,I do consent
9/27/2024 2:41:44,Non-Native English Speaker,Business Administration,Yes,Yes,2,"Proofreading and Grammar Checking, Language Translation",Grammarly,I do consent
